state,district,market,commodity,variety,grade,arrival_date,min_price,max_price,modal_price
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-01-01,2316.98,2606.73,2440.87
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-01-01,2577.75,2844.73,2667.17
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-01-01,2161.04,2412.46,2319.64
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-01-01,1884.86,2174.61,2001.94
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-01-01,2099.95,2386.57,2262.23
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-01-01,1765.73,1987.57,1901.19
Maharashtra,Nashik,Nashik,Potato,Demo,FAQ,2025-01-01,1766.55,2065.53,1909.72
Maharashtra,Pune,Pune,Potato,Demo,FAQ,2025-01-01,1695.52,2041.9,1872.59
Maharashtra,Nagpur,Nagpur,Potato,Demo,FAQ,2025-01-01,1553.44,1779.58,1652.9
Maharashtra,Nashik,Nashik,Soyabean,Demo,FAQ,2025-01-01,4552.73,4796.46,4648.16
Maharashtra,Pune,Pune,Soyabean,Demo,FAQ,2025-01-01,4834.55,5123.88,5011.3
Maharashtra,Nagpur,Nagpur,Soyabean,Demo,FAQ,2025-01-01,4279.7,4505.6,4406.65
Maharashtra,Nashik,Nashik,Wheat,Demo,FAQ,2025-01-01,2463.06,2693.32,2590.63
Maharashtra,Pune,Pune,Wheat,Demo,FAQ,2025-01-01,2708.66,2995.64,2832.37
Maharashtra,Nagpur,Nagpur,Wheat,Demo,FAQ,2025-01-01,2252.52,2526.99,2363.76
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-01-08,2343.43,2571.01,2462.18
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-01-08,2594.92,2788.88,2688.89
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-01-08,2183.74,2488.91,2342.43
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-01-08,1801.39,2085.35,1959.46
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-01-08,2113.67,2299.11,2207.65
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-01-08,1803.31,2066.94,1930.42
Maharashtra,Nashik,Nashik,Potato,Demo,FAQ,2025-01-08,1650.66,1929.49,1794.13
Maharashtra,Pune,Pune,Potato,Demo,FAQ,2025-01-08,1959.27,2152.75,2069.67
Maharashtra,Nagpur,Nagpur,Potato,Demo,FAQ,2025-01-08,1577.38,1799.69,1678.84
Maharashtra,Nashik,Nashik,Soyabean,Demo,FAQ,2025-01-08,4377.84,4567.07,4481.24
Maharashtra,Pune,Pune,Soyabean,Demo,FAQ,2025-01-08,4734.62,4990.17,4843.98
Maharashtra,Nagpur,Nagpur,Soyabean,Demo,FAQ,2025-01-08,4324.66,4629.48,4483.05
Maharashtra,Nashik,Nashik,Wheat,Demo,FAQ,2025-01-08,2435.8,2693.9,2597.2
Maharashtra,Pune,Pune,Wheat,Demo,FAQ,2025-01-08,2651.75,2892.99,2740.75
Maharashtra,Nagpur,Nagpur,Wheat,Demo,FAQ,2025-01-08,2496.63,2722.86,2592.76
Maharashtra,Nashik,Nashik,Tomato,Demo,FAQ,2025-01-15,2371.9,2646.14,2521.53
Maharashtra,Pune,Pune,Tomato,Demo,FAQ,2025-01-15,2491.87,2745.05,2602.02
Maharashtra,Nagpur,Nagpur,Tomato,Demo,FAQ,2025-01-15,2072.59,2253.16,2161.36
Maharashtra,Nashik,Nashik,Onion,Demo,FAQ,2025-01-15,1873.31,2194.14,2044.17
Maharashtra,Pune,Pune,Onion,Demo,FAQ,2025-01-15,2091.54,2426.33,2268.46
Maharashtra,Nagpur,Nagpur,Onion,Demo,FAQ,2025-01-15,2027.4,2259.56,2152.34
Maharashtra,Nashik,Nashik,Potato,Demo,FAQ,2025-01-15,1579.58,1875.41,1749.84
Maharashtra,Pune,Pune,Potato,Demo,FAQ,2025-01-15,1695.96,1944.48,1806.56
Maharashtra,Nagpur,Nagpur,Potato,Demo,FAQ,2025-01-15,1526.88,1848.39,1692.54
Maharashtra,Nashik,Nashik,Soyabean,Demo,FAQ,2025-01-15,4477.09,4743.03,4600.3
